,Year,Selling_Price,Present_Price,Kms_Driven,Owner,Car_Age,Fuel_Type_CNG,Fuel_Type_Diesel,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual
44,2012,125000.0,269000.0,50000,0,13,0,0,1,0,1
45,2014,750000.0,1204000.0,15000,0,11,0,0,1,1,0
46,2013,265000.0,488999.99999999994,64532,0,12,0,0,1,0,1
47,2006,105000.0,415000.00000000006,65000,0,19,0,0,1,0,1
48,2015,580000.0,771000.0,25870,0,10,0,0,1,0,1
49,2017,775000.0,928999.9999999999,37000,0,8,0,0,1,1,0
50,2012,1490000.0,3061000.0,104707,0,13,0,1,0,1,0
51,2015,2300000.0,3061000.0,40000,0,10,0,1,0,1,0
52,2017,1800000.0,1977000.0,15000,0,8,0,1,0,1,0
53,2013,1600000.0,3061000.0,135000,0,12,0,1,0,1,0
54,2005,275000.0,1021000.0000000001,90000,0,20,0,0,1,0,1
55,2009,360000.0,1504000.0,70000,0,16,0,0,1,1,0
56,2015,450000.0,727000.0,40534,0,10,0,0,1,0,1
57,2010,475000.0,1854000.0,50000,0,15,0,0,1,0,1
58,2014,409999.99999999994,680000.0,39485,1,11,0,0,1,0,1
59,2014,1998999.9999999998,3596000.0,41000,0,11,0,1,0,1,0
60,2013,695000.0,1861000.0,40001,0,12,0,0,1,0,1
61,2015,450000.0,770000.0,40588,0,10,0,0,1,0,1
62,2014,1875000.0,3596000.0,78000,0,11,0,1,0,1,0
63,2015,2350000.0,3596000.0,47000,0,10,0,1,0,1,0
64,2017,3300000.0,3622999.9999999995,6000,0,8,0,1,0,1,0
65,2014,475000.0,695000.0,45000,0,11,0,1,0,0,1
66,2017,1975000.0,2315000.0,11000,0,8,0,0,1,1,0
67,2010,925000.0,2045000.0,59000,0,15,0,1,0,0,1
68,2011,434999.99999999994,1374000.0,88000,0,14,0,0,1,0,1
69,2016,1425000.0,2091000.0,12000,0,9,0,0,1,0,1
70,2014,395000.0,676000.0,71000,0,11,0,1,0,0,1
71,2011,450000.0,1248000.0,45000,0,14,0,1,0,0,1
72,2013,745000.0,1861000.0,56001,0,12,0,0,1,0,1
73,2011,265000.0,571000.0,43000,0,14,0,0,1,0,1
74,2014,490000.00000000006,893000.0,83000,0,11,0,1,0,0,1
75,2015,395000.0,680000.0,36000,0,10,0,0,1,0,1
76,2013,550000.0,1468000.0,72000,0,12,0,0,1,0,1
77,2004,150000.0,1235000.0,135154,0,21,0,0,1,1,0
78,2010,525000.0,2283000.0,80000,0,15,0,0,1,1,0
79,2012,1450000.0,3061000.0,89000,0,13,0,1,0,1,0
80,2016,1473000.0,1489000.0,23000,0,9,0,1,0,0,1
81,2015,475000.0,785000.0,40000,0,10,0,1,0,0,1
82,2017,2300000.0,2539000.0,15000,0,8,0,1,0,1,0
83,2015,1250000.0,1346000.0,38000,0,10,0,1,0,0,1
84,2005,349000.0,1346000.0,197176,0,20,0,1,0,0,1
85,2006,250000.0,2373000.0,142000,3,19,0,0,1,1,0
86,2010,3500000.0,9260000.0,78000,0,15,0,1,0,0,1
87,2012,590000.0,1374000.0,56000,0,13,0,0,1,0,1
88,2013,345000.0,605000.0,47000,0,12,0,0,1,0,1
89,2014,475000.0,676000.0,40000,0,11,0,0,1,0,1
90,2009,380000.0,1861000.0,62000,0,16,0,0,1,0,1
91,2014,1125000.0,1609000.0,58242,0,11,0,1,0,0,1
92,2005,351000.0,1370000.0,75000,0,20,0,0,1,0,1
93,2015,2300000.0,3061000.0,40000,0,10,0,1,0,1,0
94,2008,400000.0,2278000.0,89000,0,17,0,0,1,1,0
95,2012,585000.0,1861000.0,72000,0,13,0,0,1,0,1
96,2016,2075000.0,2539000.0,29000,0,9,0,1,0,1,0
97,2017,1700000.0,1864000.0,8700,0,8,0,0,1,0,1
98,2013,705000.0,1861000.0,45000,0,12,0,0,1,0,1
99,2010,965000.0,2045000.0,50024,0,15,0,1,0,0,1
100,2014,50000.0,88000.0,8000,0,11,0,0,1,0,1
101,2010,325000.0,679000.0,58000,1,15,0,1,0,0,1
102,2015,440000.00000000006,570000.0,28200,0,10,0,0,1,0,1
103,2011,295000.0,459999.99999999994,53460,0,14,0,0,1,0,1
104,2015,275000.0,443000.0,28282,0,10,0,0,1,0,1
105,2016,525000.0,570000.0,3493,1,9,0,0,1,0,1
106,2017,575000.0,713000.0,12479,0,8,0,0,1,0,1
107,2015,515000.00000000006,570000.0,34797,0,10,0,0,1,1,0
108,2017,790000.0,810000.0,3435,0,8,0,0,1,0,1
109,2015,484999.99999999994,570000.0,21125,0,10,0,1,0,0,1
110,2012,310000.0,459999.99999999994,35775,0,13,0,0,1,0,1
111,2015,1175000.0,1479000.0,43535,0,10,0,1,0,0,1
112,2016,1125000.0,1360000.0,22671,0,9,0,0,1,0,1
113,2011,290000.0,679000.0,31604,0,14,0,0,1,0,1
114,2017,525000.0,570000.0,20114,0,8,0,0,1,0,1
115,2012,450000.0,940000.0,36100,0,13,0,0,1,0,1
116,2016,290000.0,443000.0,12500,0,9,0,0,1,0,1
117,2016,315000.0,443000.0,15000,0,9,0,0,1,0,1
118,2014,645000.0,940000.0,45078,0,11,0,0,1,0,1
119,2012,450000.0,940000.0,36000,0,13,0,0,1,0,1
120,2017,350000.0,443000.0,38488,0,8,0,0,1,0,1
121,2013,450000.0,679000.0,32000,0,12,0,0,1,1,0
122,2014,600000.0,760000.0,77632,0,11,0,1,0,0,1
123,2015,825000.0,940000.0,61381,0,10,0,1,0,0,1
124,2013,511000.00000000006,940000.0,36198,0,12,0,0,1,1,0
125,2011,270000.0,459999.99999999994,22517,0,14,0,0,1,0,1
126,2015,525000.0,570000.0,24678,0,10,0,0,1,0,1
127,2011,254999.99999999997,443000.0,57000,0,14,0,0,1,0,1
128,2012,495000.0,940000.0,60000,0,13,0,1,0,0,1
129,2012,310000.0,679000.0,52132,0,13,0,1,0,0,1
130,2013,615000.0,940000.0,45000,0,12,0,1,0,0,1
131,2017,925000.0,940000.0,15001,0,8,0,0,1,0,1
132,2015,1145000.0,1479000.0,12900,0,10,0,0,1,1,0
133,2013,390000.0,570000.0,53000,0,12,0,1,0,0,1
134,2015,550000.0,570000.0,4492,0,10,0,0,1,0,1
135,2017,910000.0,940000.0,15141,0,8,0,0,1,0,1
136,2016,310000.0,443000.0,11849,0,9,0,0,1,0,1
137,2015,1125000.0,1360000.0,68000,0,10,0,1,0,0,1
138,2013,480000.0,940000.0,60241,0,12,0,0,1,0,1
139,2012,200000.0,443000.0,23709,0,13,0,0,1,0,1
140,2012,535000.0,940000.0,32322,0,13,0,1,0,0,1
141,2015,475000.0,713000.0,35866,1,10,0,0,1,0,1
142,2014,440000.00000000006,713000.0,34000,0,11,0,0,1,0,1
143,2016,625000.0,760000.0,7000,0,9,0,0,1,0,1
144,2013,595000.0,940000.0,49000,0,12,0,1,0,0,1
145,2012,520000.0,940000.0,71000,0,13,0,1,0,0,1
146,2012,375000.0,679000.0,35000,0,13,0,0,1,0,1
147,2015,595000.0,940000.0,36000,0,10,0,0,1,0,1
148,2013,400000.0,459999.99999999994,30000,0,12,0,0,1,0,1
149,2016,525000.0,760000.0,17000,0,9,0,0,1,0,1
150,2016,1290000.0,1360000.0,35934,0,9,0,1,0,0,1
151,2013,500000.0,990000.0,56701,0,12,0,0,1,0,1
152,2015,540000.0,682000.0,31427,0,10,0,0,1,1,0
153,2014,720000.0,990000.0,48000,0,11,0,1,0,0,1
154,2013,525000.0,990000.0,54242,0,12,0,0,1,0,1
155,2012,300000.0,535000.0,53675,0,13,0,0,1,0,1
156,2016,1025000.0,1360000.0,49562,0,9,0,0,1,0,1
157,2015,850000.0,1360000.0,40324,0,10,0,0,1,0,1
158,2015,840000.0,1360000.0,25000,0,10,0,0,1,0,1
159,2014,390000.0,700000.0,36054,0,11,0,0,1,0,1
160,2016,915000.0,1360000.0,29223,0,9,0,0,1,0,1
161,2016,550000.0,597000.0,5600,0,9,0,0,1,0,1
162,2015,400000.0,580000.0,40023,0,10,0,0,1,0,1
163,2016,660000.0,770000.0,16002,0,9,0,0,1,0,1
164,2015,400000.0,700000.0,40026,0,10,0,0,1,0,1
165,2017,650000.0,869999.9999999999,21200,0,8,0,0,1,0,1
166,2014,365000.0,700000.0,35000,0,11,0,0,1,0,1
167,2016,835000.0,940000.0,19434,0,9,0,1,0,0,1
168,2017,480000.0,580000.0,19000,0,8,0,0,1,0,1
169,2015,670000.0,1000000.0,18828,0,10,0,0,1,0,1
170,2011,409999.99999999994,1000000.0,69341,0,14,0,0,1,0,1
171,2009,300000.0,1000000.0,69562,0,16,0,0,1,0,1
172,2015,750000.0,1000000.0,27600,0,10,0,0,1,0,1
173,2010,225000.0,750000.0,61203,0,15,0,0,1,0,1
174,2014,530000.0,680000.0,16500,0,11,0,0,1,0,1
175,2016,1090000.0,1360000.0,30753,0,9,0,0,1,1,0
176,2015,865000.0,1360000.0,24800,0,10,0,0,1,0,1
177,2015,969999.9999999999,1360000.0,21780,0,10,0,0,1,0,1
178,2016,600000.0,840000.0,4000,0,9,0,0,1,0,1
179,2014,625000.0,1360000.0,40126,0,11,0,0,1,0,1
180,2015,525000.0,590000.0,14465,0,10,0,0,1,0,1
181,2006,210000.0,760000.0,50456,0,19,0,0,1,0,1
182,2014,825000.0,1400000.0,63000,0,11,0,1,0,0,1
183,2016,899000.0,1180000.0,9010,0,9,0,0,1,0,1
184,2013,350000.0,590000.0,9800,0,12,0,0,1,0,1
185,2016,740000.0,850000.0,15059,0,9,0,0,1,1,0
186,2016,565000.0,790000.0,28569,0,9,0,0,1,0,1
187,2015,575000.0,750000.0,44000,0,10,0,0,1,1,0
188,2015,840000.0,1360000.0,34000,0,10,0,0,1,0,1
189,2016,1011000.0,1360000.0,10980,0,9,0,0,1,0,1
190,2014,450000.0,640000.0,19000,0,11,0,0,1,0,1
191,2015,540000.0,610000.0,31427,0,10,0,0,1,0,1
192,2016,640000.0,840000.0,12000,0,9,0,0,1,0,1
193,2010,325000.0,990000.0,38000,0,15,0,0,1,0,1
194,2014,375000.0,680000.0,33019,0,11,0,0,1,0,1
195,2015,855000.0000000001,1309000.0,60076,0,10,0,1,0,0,1
196,2016,950000.0,1160000.0,33988,0,9,0,1,0,0,1
197,2015,400000.0,590000.0,60000,0,10,0,0,1,0,1
198,2009,335000.0,1100000.0,87934,0,16,0,0,1,0,1
199,2017,1150000.0,1250000.0,9000,0,8,0,1,0,0,1
200,2016,530000.0,590000.0,5464,0,9,0,0,1,0,1
